zaxis,yaxis,H,Na,K,Mg,Ca,Ba,Ti,V,Mn,Fe,Ni,Cu,Ag,Zn,B,Al,C,Si,Pb,REE,U,F,Cl,O,S,Se,P,As,Sb,Bi
Cu,Fe,30,11,8,5,8,1,0,3,2,107,7,107,6,12,0,8,0,5,16,1,0,0,5,44,66,5,5,27,6,11
Cu,Ni,7,0,1,0,0,1,0,0,0,7,18,18,0,0,0,2,1,0,2,0,0,0,3,7,11,1,0,1,3,1
Cu,Cu,329,36,45,19,57,6,2,28,8,107,18,673,50,46,5,50,34,38,125,12,17,7,88,423,278,50,36,146,45,61
Cu,Ag,2,0,2,0,0,0,0,0,0,6,0,50,50,3,0,0,0,0,20,0,0,0,3,4,39,5,0,10,10,12
Cu,Zn,27,1,1,1,5,0,0,0,0,12,0,46,3,46,0,1,3,1,3,0,0,0,7,29,20,2,2,15,0,1
Cu,B,4,0,0,0,2,0,0,0,0,0,0,5,0,0,5,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0
Cu,Al,42,3,4,3,7,1,0,3,0,8,2,50,0,1,0,50,1,6,5,0,0,4,6,47,18,0,7,16,3,0
Cu,C,31,5,1,2,6,0,0,0,0,0,1,34,0,3,1,1,34,2,4,4,3,0,3,34,2,0,0,1,0,0
Cu,Si,29,3,6,1,10,4,1,0,3,5,0,38,0,1,0,6,2,38,7,1,1,0,2,38,4,0,0,3,0,0
Cu,Pb,53,1,3,0,4,1,0,2,0,16,2,125,20,3,0,5,4,7,125,2,1,0,20,64,76,12,4,18,21,40
Cu,REE,10,1,0,0,2,0,0,0,1,1,0,12,0,0,0,0,4,1,2,12,1,0,1,12,0,0,2,5,0,0
Cu,U,17,0,0,0,2,0,0,1,0,0,0,17,0,0,0,0,3,1,1,1,17,0,0,17,2,3,3,2,0,0
Cu,F,7,0,0,0,0,0,0,2,0,0,0,7,0,0,0,4,0,0,0,0,0,7,1,7,0,0,3,0,1,0
Cu,Cl,58,10,17,3,11,0,0,4,2,5,3,88,3,7,1,6,3,2,20,1,0,1,88,83,13,10,2,12,4,3
Cu,O,328,35,40,19,56,5,2,23,8,44,7,423,4,29,5,47,34,38,64,12,17,7,83,423,99,18,36,105,11,10
Cu,S,78,9,19,4,9,1,0,5,1,66,11,278,39,20,0,18,2,4,76,0,2,0,13,99,278,7,2,38,34,47
Cu,Se,8,1,2,0,0,0,0,0,0,5,1,50,5,2,0,0,0,0,12,0,3,0,10,18,7,50,0,3,3,9
Cu,P,36,3,0,1,6,0,0,2,0,5,0,36,0,2,0,7,0,0,4,2,3,3,2,36,2,0,36,1,0,2
Cu,As,85,14,8,6,25,0,1,2,2,27,1,146,10,15,0,16,1,3,18,5,2,0,12,105,38,3,1,146,7,4
Cu,Sb,7,1,2,0,2,0,1,1,0,6,3,45,10,0,0,3,0,0,21,0,0,1,4,11,34,3,0,7,45,7
Cu,Bi,7,0,1,0,2,0,0,1,0,11,1,61,12,1,0,0,0,0,40,0,0,0,3,10,47,9,2,4,7,61
Ag,H,5,0,1,0,1,0,0,0,1,1,0,2,5,1,0,0,0,0,2,0,0,0,2,5,1,0,0,0,1,0
Ag,Na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,K,1,0,2,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0
Ag,Mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,Ca,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ag,Ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,Ti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,V,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ag,Mn,1,0,0,0,1,0,0,0,6,0,0,0,6,0,0,0,0,0,2,0,0,0,0,1,5,0,0,2,3,0
Ag,Fe,1,0,1,0,0,0,0,0,0,16,1,6,16,3,0,0,0,0,1,0,0,0,0,1,15,1,0,1,4,1
Ag,Ni,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ag,Cu,2,0,2,0,0,0,0,0,0,6,0,50,50,3,0,0,0,0,20,0,0,0,3,4,39,5,0,10,10,12
Ag,Ag,5,0,2,0,1,0,0,1,6,16,1,50,178,6,0,0,0,0,60,0,0,1,8,8,131,14,0,38,52,33
Ag,Zn,1,0,0,0,0,0,0,0,0,3,0,3,6,6,0,0,0,0,1,0,0,0,1,1,5,0,0,2,1,0
Ag,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,Al,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,Si,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,Pb,2,0,1,0,0,0,0,0,2,1,0,20,60,1,0,0,0,0,60,0,0,1,4,4,53,2,0,14,28,24
Ag,REE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,F,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Ag,Cl,2,0,1,0,0,0,0,0,0,0,0,3,8,1,0,0,0,0,4,0,0,1,8,3,4,0,0,0,1,0
Ag,O,5,0,1,0,1,0,0,1,1,1,0,4,8,1,0,0,0,0,4,0,0,0,3,8,3,0,0,0,3,0
Ag,S,1,0,1,0,0,0,0,0,5,15,1,39,131,5,0,0,0,0,53,0,0,0,4,3,131,5,0,36,48,30
Ag,Se,0,0,0,0,0,0,0,0,0,1,0,5,14,0,0,0,0,0,2,0,0,0,0,0,5,14,0,0,2,3
Ag,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,As,0,0,0,0,0,0,0,0,2,1,0,10,38,2,0,0,0,0,14,0,0,0,0,0,36,0,0,38,12,0
Ag,Sb,1,0,1,0,0,0,0,0,3,4,0,10,52,1,0,0,0,0,28,0,0,0,1,3,48,2,0,12,52,5
Ag,Bi,0,0,0,0,0,0,0,0,0,1,0,12,33,0,0,0,0,0,24,0,0,0,0,0,30,3,0,0,5,33
Zn,H,179,12,9,20,28,1,15,6,25,44,2,27,1,179,0,31,11,32,17,4,4,3,9,179,36,0,24,51,3,0
Zn,Na,12,17,4,1,0,0,5,0,3,4,0,1,0,17,0,3,0,10,1,4,0,3,1,16,4,0,0,1,0,0
Zn,K,9,4,19,2,2,0,3,0,4,3,0,1,0,19,1,6,0,12,1,0,0,0,5,17,1,1,0,2,0,0
Zn,Mg,20,1,2,22,4,0,3,0,9,14,0,1,0,22,0,11,1,6,0,0,0,0,0,22,2,0,2,4,1,0
Zn,Ca,28,0,2,4,35,0,0,0,5,9,0,5,0,35,0,2,3,10,2,0,1,0,0,35,3,0,9,10,0,0
Zn,Ba,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Zn,Ti,15,5,3,3,0,1,16,1,3,8,0,0,0,16,0,4,0,7,3,4,1,3,0,16,0,0,0,0,0,0
Zn,V,6,0,0,0,0,0,1,7,1,1,2,0,0,7,0,2,0,1,3,1,1,0,0,7,0,0,0,0,0,0
Zn,Mn,25,3,4,9,5,0,3,1,33,14,0,0,0,33,0,4,0,15,4,3,1,1,0,32,2,0,5,6,1,0
Zn,Fe,44,4,3,14,9,0,8,1,14,64,0,12,3,64,0,13,1,7,8,4,1,2,0,50,20,1,8,19,3,1
Zn,Ni,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Zn,Cu,27,1,1,1,5,0,0,0,0,12,0,46,3,46,0,1,3,1,3,0,0,0,7,29,20,2,2,15,0,1
Zn,Ag,1,0,0,0,0,0,0,0,0,3,0,3,6,6,0,0,0,0,1,0,0,0,1,1,5,0,0,2,1,0
Zn,Zn,179,17,19,22,35,1,16,7,33,64,2,46,6,254,1,36,13,50,26,6,4,4,14,224,61,5,26,64,7,1
Zn,B,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Zn,Al,31,3,6,11,2,0,4,2,4,13,1,1,0,36,0,36,1,12,0,0,0,0,0,35,7,0,3,3,1,0
Zn,C,11,0,0,1,3,0,0,0,0,1,0,3,0,13,0,1,13,0,0,0,1,0,0,13,1,0,1,0,0,0
Zn,Si,32,10,12,6,10,1,7,1,15,7,0,1,0,50,0,12,0,50,5,2,0,2,0,50,4,0,1,6,1,0
Zn,Pb,17,1,1,0,2,0,3,3,4,8,0,3,1,26,0,0,0,5,26,3,1,2,2,26,4,1,1,10,1,0
Zn,REE,4,4,0,0,0,0,4,1,3,4,0,0,0,6,0,0,0,2,3,6,1,2,0,6,0,0,0,0,0,0
Zn,U,4,0,0,0,1,0,1,1,1,1,0,0,0,4,0,0,1,0,1,1,4,0,0,4,1,0,0,1,0,0
Zn,F,3,3,0,0,0,0,3,0,1,2,0,0,0,4,0,0,0,2,2,2,0,4,0,4,0,0,0,0,0,0
Zn,Cl,9,1,5,0,0,0,0,0,0,0,0,7,1,14,1,0,0,0,2,0,0,0,14,12,1,2,0,1,0,0
Zn,O,179,16,17,22,35,1,16,7,32,50,2,29,1,224,1,35,13,50,26,6,4,4,12,224,40,3,26,58,6,0
Zn,S,36,4,1,2,3,0,0,0,2,20,0,20,5,61,0,7,1,4,4,0,1,0,1,40,61,0,1,6,2,1
Zn,Se,0,0,1,0,0,0,0,0,0,1,0,2,0,5,0,0,0,0,1,0,0,0,2,3,0,5,0,1,0,0
Zn,P,24,0,0,2,9,0,0,0,5,8,0,2,0,26,0,3,1,1,1,0,0,0,0,26,1,0,26,1,0,0
Zn,As,51,1,2,4,10,0,0,0,6,19,0,15,2,64,0,3,0,6,10,0,1,0,1,58,6,1,1,64,2,0
Zn,Sb,3,0,0,1,0,0,0,0,1,3,0,0,1,7,0,1,0,1,1,0,0,0,0,6,2,0,0,2,7,0
Zn,Bi,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
B,H,189,52,10,59,88,7,6,4,13,18,0,4,0,0,189,50,11,77,4,14,0,16,28,188,8,0,4,2,0,0
B,Na,52,65,7,15,17,4,3,3,6,12,0,0,0,0,65,20,1,43,0,7,0,15,4,63,3,0,3,2,0,0
B,K,10,7,18,3,5,2,1,0,1,0,0,0,0,1,18,6,0,9,1,1,0,4,4,16,1,0,0,0,0,0
B,Mg,59,15,3,82,19,1,3,3,5,13,0,0,0,0,82,29,6,30,1,0,0,8,9,82,1,0,1,1,2,0
B,Ca,88,17,5,19,111,5,4,0,6,13,0,2,0,0,111,26,7,45,2,16,0,13,16,111,7,0,4,4,0,0
B,Ba,7,4,2,1,5,14,6,1,1,2,0,0,0,0,14,0,0,14,1,4,0,5,3,14,0,0,1,0,0,0
B,Ti,6,3,1,3,4,6,11,1,1,5,0,0,0,0,11,2,0,9,0,3,0,3,3,11,0,0,2,0,0,0
B,V,4,3,0,3,0,1,1,4,0,0,0,0,0,0,4,1,0,4,0,0,0,0,1,4,0,0,0,0,0,0
B,Mn,13,6,1,5,6,1,1,0,24,2,0,0,0,0,24,3,1,11,1,2,0,3,4,24,0,0,2,0,2,0
B,Fe,18,12,0,13,13,2,5,0,2,38,1,0,0,0,38,19,0,25,0,6,0,9,5,38,2,0,3,2,1,0
B,Ni,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
B,Cu,4,0,0,0,2,0,0,0,0,0,0,5,0,0,5,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0
B,Ag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,Zn,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
B,B,189,65,18,82,111,14,11,4,24,38,1,5,0,1,276,76,12,115,6,25,0,32,35,271,8,0,6,5,3,0
B,Al,50,20,6,29,26,0,2,1,3,19,0,0,0,0,76,76,3,59,0,7,0,11,4,76,2,0,0,2,1,0
B,C,11,1,0,6,7,0,0,0,1,0,0,1,0,0,12,3,12,3,2,1,0,1,2,12,0,0,0,0,0,0
B,Si,77,43,9,30,45,14,9,4,11,25,0,0,0,0,115,59,3,115,3,22,0,25,8,114,2,0,4,2,0,0
B,Pb,4,0,1,1,2,1,0,0,1,0,0,0,0,0,6,0,2,3,6,1,0,3,3,6,0,0,0,0,0,0
B,REE,14,7,1,0,16,4,3,0,2,6,0,0,0,0,25,7,1,22,1,25,0,10,0,25,0,0,4,2,0,0
B,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,F,16,15,4,8,13,5,3,0,3,9,0,0,0,0,32,11,1,25,3,10,0,32,1,28,2,0,4,2,0,0
B,Cl,28,4,4,9,16,3,3,1,4,5,0,1,0,1,35,4,2,8,3,0,0,1,35,35,2,0,0,0,0,0
B,O,188,63,16,82,111,14,11,4,24,38,1,5,0,1,271,76,12,114,6,25,0,28,35,271,8,0,6,5,3,0
B,S,8,3,1,1,7,0,0,0,0,2,0,0,0,0,8,2,0,2,0,0,0,2,2,8,8,0,0,0,0,0
B,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,P,4,3,0,1,4,1,2,0,2,3,0,0,0,0,6,0,0,4,0,4,0,4,0,6,0,0,6,0,0,0
B,As,2,2,0,1,4,0,0,0,0,2,0,0,0,0,5,2,0,2,0,2,0,2,0,5,0,0,0,5,0,0
B,Sb,0,0,0,2,0,0,0,0,2,1,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0
B,Bi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al,H,792,199,107,173,277,42,19,30,68,156,8,42,0,31,50,792,53,414,28,49,18,78,37,792,128,1,155,44,5,1
Al,Na,199,274,59,72,129,13,6,3,21,60,0,3,0,3,20,274,18,199,2,2,1,48,26,265,36,0,36,7,0,0
Al,K,107,59,148,30,63,11,6,1,13,30,0,4,0,6,6,148,5,121,1,0,0,16,15,147,23,0,9,3,0,0
Al,Mg,173,72,30,235,94,9,21,5,22,74,1,3,0,11,29,235,11,154,0,9,0,37,8,232,17,0,22,6,2,0
Al,Ca,277,129,63,94,371,15,15,7,27,89,0,7,0,2,26,371,21,272,7,34,0,57,30,364,41,0,42,9,2,0
Al,Ba,42,13,11,9,15,51,4,2,3,7,0,1,0,0,0,51,6,32,0,0,0,6,3,49,3,0,10,3,0,0
Al,Ti,19,6,6,21,15,4,40,1,2,22,0,0,0,4,2,40,0,23,0,7,0,3,1,40,0,0,2,2,0,0
Al,V,30,3,1,5,7,2,1,33,3,6,2,3,0,2,1,33,1,12,1,2,2,3,0,33,1,0,4,1,0,0
Al,Mn,68,21,13,22,27,3,2,3,84,22,0,0,0,4,3,84,2,52,2,9,0,7,0,84,4,0,26,4,1,0
Al,Fe,156,60,30,74,89,7,22,6,22,208,1,8,0,13,19,208,2,123,4,18,1,20,4,206,14,0,39,10,2,0
Al,Ni,8,0,0,1,0,0,0,2,0,1,9,2,0,1,0,9,1,2,0,0,0,0,0,8,3,0,0,0,0,0
Al,Cu,42,3,4,3,7,1,0,3,0,8,2,50,0,1,0,50,1,6,5,0,0,4,6,47,18,0,7,16,3,0
Al,Ag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al,Zn,31,3,6,11,2,0,4,2,4,13,1,1,0,36,0,36,1,12,0,0,0,0,0,35,7,0,3,3,1,0
Al,B,50,20,6,29,26,0,2,1,3,19,0,0,0,0,76,76,3,59,0,7,0,11,4,76,2,0,0,2,1,0
Al,Al,792,274,148,235,371,51,40,33,84,208,9,50,0,36,76,1033,58,565,30,58,18,134,57,1012,142,1,170,52,9,1
Al,C,53,18,5,11,21,6,0,1,2,2,1,1,0,1,3,58,58,22,4,4,0,4,9,58,11,0,6,0,0,0
Al,Si,414,199,121,154,272,32,23,12,52,123,2,6,0,12,59,565,22,565,10,41,0,56,34,565,33,0,8,7,2,0
Al,Pb,28,2,1,0,7,0,0,1,2,4,0,5,0,0,0,30,4,10,30,0,1,3,3,29,8,0,7,3,1,0
Al,REE,49,2,0,9,34,0,7,2,9,18,0,0,0,0,7,58,4,41,0,58,0,12,0,58,5,0,6,4,0,0
Al,U,18,1,0,0,0,0,0,2,0,1,0,0,0,0,0,18,0,0,1,0,18,3,0,18,2,0,13,2,0,0
Al,F,78,48,16,37,57,6,3,3,7,20,0,4,0,0,11,134,4,56,3,12,3,134,4,119,15,0,24,5,0,0
Al,Cl,37,26,15,8,30,3,1,0,0,4,0,6,0,0,4,57,9,34,3,0,0,4,57,57,19,0,1,2,1,0
Al,O,792,265,147,232,364,49,40,33,84,206,8,47,0,35,76,1012,58,565,29,58,18,119,57,1012,142,1,170,52,9,1
Al,S,128,36,23,17,41,3,0,1,4,14,3,18,0,7,2,142,11,33,8,5,2,15,19,142,142,0,11,5,2,0
Al,Se,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Al,P,155,36,9,22,42,10,2,4,26,39,0,7,0,3,0,170,6,8,7,6,13,24,1,170,11,0,170,0,0,1
Al,As,44,7,3,6,9,3,2,1,4,10,0,16,0,3,2,52,0,7,3,4,2,5,2,52,5,0,0,52,0,0
Al,Sb,5,0,0,2,2,0,0,0,1,2,0,3,0,1,1,9,0,2,1,0,0,0,1,9,2,0,0,0,9,0
Al,Bi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
C,H,285,60,12,48,90,12,2,1,15,20,13,31,0,11,11,53,285,45,23,50,29,13,23,274,31,0,16,3,0,0
C,Na,60,103,10,10,42,9,4,0,9,7,1,5,0,0,1,18,103,23,1,32,6,16,11,103,16,0,13,1,0,0
C,K,12,10,19,1,11,1,0,0,0,1,0,1,0,0,0,5,19,7,0,2,3,1,4,19,4,0,0,0,0,0
C,Mg,48,10,1,58,15,3,0,0,2,6,0,2,0,1,6,11,58,5,3,1,4,2,5,58,6,0,8,0,0,0
C,Ca,90,42,11,15,135,12,0,1,8,4,0,6,0,3,7,21,135,32,2,34,18,19,13,135,14,0,7,2,0,2
C,Ba,12,9,1,3,12,29,1,1,0,3,0,0,0,0,0,6,29,6,0,12,1,11,3,29,1,0,2,0,0,0
C,Ti,2,4,0,0,0,1,6,1,0,2,0,0,0,0,0,0,6,4,0,3,0,1,0,5,0,0,0,0,0,0
C,V,1,0,0,0,1,1,1,2,0,1,0,0,0,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0
C,Mn,15,9,0,2,8,0,0,0,22,0,0,0,0,0,1,2,22,3,2,4,0,2,3,22,5,0,2,2,0,0
C,Fe,20,7,1,6,4,3,2,1,0,30,3,0,0,1,0,2,30,8,1,1,0,1,1,25,2,0,2,0,0,0
C,Ni,13,1,0,0,0,0,0,0,0,3,16,1,0,0,0,1,16,0,0,0,0,0,0,13,1,0,0,0,0,0
C,Cu,31,5,1,2,6,0,0,0,0,0,1,34,0,3,1,1,34,2,4,4,3,0,3,34,2,0,0,1,0,0
C,Ag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,Zn,11,0,0,1,3,0,0,0,0,1,0,3,0,13,0,1,13,0,0,0,1,0,0,13,1,0,1,0,0,0
C,B,11,1,0,6,7,0,0,0,1,0,0,1,0,0,12,3,12,3,2,1,0,1,2,12,0,0,0,0,0,0
C,Al,53,18,5,11,21,6,0,1,2,2,1,1,0,1,3,58,58,22,4,4,0,4,9,58,11,0,6,0,0,0
C,C,285,103,19,58,135,29,6,2,22,30,16,34,0,13,12,58,406,58,28,86,32,39,31,381,41,0,22,3,0,3
C,Si,45,23,7,5,32,6,4,1,3,8,0,2,0,0,3,22,58,58,6,13,1,4,10,57,10,0,4,0,0,0
C,Pb,23,1,0,3,2,0,0,0,2,1,0,4,0,0,2,4,28,6,28,2,1,1,6,28,8,0,0,0,0,0
C,REE,50,32,2,1,34,12,3,0,4,1,0,4,0,0,1,4,86,13,2,86,6,25,3,86,6,0,5,0,0,0
C,U,29,6,3,4,18,1,0,0,0,0,0,3,0,1,0,0,32,1,1,6,32,2,0,32,2,0,0,0,0,0
C,F,13,16,1,2,19,11,1,1,2,1,0,0,0,0,1,4,39,4,1,25,2,39,2,39,3,0,2,0,0,1
C,Cl,23,11,4,5,13,3,0,0,3,1,0,3,0,0,2,9,31,10,6,3,0,2,31,31,9,0,1,0,0,0
C,O,274,103,19,58,135,29,5,1,22,25,13,34,0,13,12,58,381,57,28,86,32,39,31,381,41,0,22,3,0,3
C,S,31,16,4,6,14,1,0,0,5,2,1,2,0,1,0,11,41,10,8,6,2,3,9,41,41,0,1,0,0,0
C,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,P,16,13,0,8,7,2,0,0,2,2,0,0,0,1,0,6,22,4,0,5,0,2,1,22,1,0,22,0,0,0
C,As,3,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0
C,Sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,Bi,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,3
Si,H,963,385,193,183,422,88,135,24,188,228,7,29,0,32,77,414,45,963,27,95,19,90,56,961,35,0,17,16,2,1
Si,Na,385,550,146,104,225,49,141,7,94,134,0,3,0,10,43,199,23,550,0,55,3,112,44,547,28,0,21,4,0,0
Si,K,193,146,280,52,113,27,64,3,45,60,0,6,0,12,9,121,7,280,1,11,3,50,18,276,15,0,2,1,0,0
Si,Mg,183,104,52,276,108,12,24,5,30,93,2,1,0,6,30,154,5,276,3,13,3,48,7,276,1,0,3,4,1,0
Si,Ca,422,225,113,108,618,31,71,12,86,143,0,10,0,10,45,272,32,618,14,78,7,106,55,618,40,0,22,4,1,0
Si,Ba,88,49,27,12,31,134,57,9,22,33,0,4,0,1,14,32,6,134,2,11,1,29,15,134,4,0,7,0,0,0
Si,Ti,135,141,64,24,71,57,216,2,46,68,0,1,0,7,9,23,4,216,0,38,0,57,12,215,1,0,13,2,0,0
Si,V,24,7,3,5,12,9,2,38,10,4,0,0,0,1,4,12,1,38,1,2,0,2,2,38,0,0,0,1,0,0
Si,Mn,188,94,45,30,86,22,46,10,246,55,0,3,0,15,11,52,3,246,6,28,0,34,20,244,2,0,8,13,5,0
Si,Fe,228,134,60,93,143,33,68,4,55,343,1,5,0,7,25,123,8,343,9,49,0,49,26,334,3,0,8,8,3,1
Si,Ni,7,0,0,2,0,0,0,0,0,1,9,0,0,0,0,2,0,9,0,0,0,0,0,8,0,0,1,0,0,0
Si,Cu,29,3,6,1,10,4,1,0,3,5,0,38,0,1,0,6,2,38,7,1,1,0,2,38,4,0,0,3,0,0
Si,Ag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Si,Zn,32,10,12,6,10,1,7,1,15,7,0,1,0,50,0,12,0,50,5,2,0,2,0,50,4,0,1,6,1,0
Si,B,77,43,9,30,45,14,9,4,11,25,0,0,0,0,115,59,3,115,3,22,0,25,8,114,2,0,4,2,0,0
Si,Al,414,199,121,154,272,32,23,12,52,123,2,6,0,12,59,565,22,565,10,41,0,56,34,565,33,0,8,7,2,0
Si,C,45,23,7,5,32,6,4,1,3,8,0,2,0,0,3,22,58,58,6,13,1,4,10,57,10,0,4,0,0,0
Si,Si,963,550,280,276,618,134,216,38,246,343,9,38,0,50,115,565,58,1475,44,153,21,196,84,1453,56,0,37,22,7,3
Si,Pb,27,0,1,3,14,2,0,1,6,9,0,7,0,5,3,10,6,44,44,1,1,4,8,44,7,0,0,1,0,0
Si,REE,95,55,11,13,78,11,38,2,28,49,0,1,0,2,22,41,13,153,1,153,1,40,5,153,1,0,10,3,0,0
Si,U,19,3,3,3,7,1,0,0,0,0,0,1,0,0,0,0,1,21,1,1,21,0,0,21,0,0,0,0,0,0
Si,F,90,112,50,48,106,29,57,2,34,49,0,0,0,2,25,56,4,196,4,40,0,196,8,189,3,0,14,2,0,0
Si,Cl,56,44,18,7,55,15,12,2,20,26,0,2,0,0,8,34,10,84,8,5,0,8,84,84,14,0,1,1,0,0
Si,O,961,547,276,276,618,134,215,38,244,334,8,38,0,50,114,565,57,1453,44,153,21,189,84,1453,56,0,36,22,7,3
Si,S,35,28,15,1,40,4,1,0,2,3,0,4,0,4,2,33,10,56,7,1,0,3,14,56,56,0,1,1,0,0
Si,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Si,P,17,21,2,3,22,7,13,0,8,8,1,0,0,1,4,8,4,37,0,10,0,14,1,36,1,0,37,0,0,0
Si,As,16,4,1,4,4,0,2,1,13,8,0,3,0,6,2,7,0,22,1,3,0,2,1,22,1,0,0,22,1,0
Si,Sb,2,0,0,1,1,0,0,0,5,3,0,0,0,1,0,2,0,7,0,0,0,0,0,7,0,0,0,1,7,0
Si,Bi,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3
Pb,H,200,6,4,7,14,2,4,14,18,43,1,53,2,17,4,28,23,27,200,6,26,6,39,199,40,5,25,41,4,5
Pb,Na,6,12,4,0,5,1,3,0,3,4,0,1,0,1,0,2,1,0,12,3,3,2,3,12,2,0,1,3,0,0
Pb,K,4,4,11,0,2,2,1,0,0,1,0,3,1,1,1,1,0,1,11,1,1,1,5,8,3,1,0,1,1,0
Pb,Mg,7,0,0,8,1,0,0,0,3,3,0,0,0,0,1,0,3,3,8,0,1,1,2,8,1,0,0,1,0,0
Pb,Ca,14,5,2,1,28,3,0,0,4,4,0,4,0,2,2,7,2,14,28,3,2,5,5,27,2,0,4,3,1,0
Pb,Ba,2,1,2,0,3,4,0,0,1,2,1,1,0,0,1,0,0,2,4,1,1,1,1,3,1,0,0,0,0,0
Pb,Ti,4,3,1,0,0,0,10,2,6,8,0,0,0,3,0,0,0,0,10,6,4,1,0,10,0,0,0,1,0,0
Pb,V,14,0,0,0,0,0,2,22,5,7,0,2,0,3,0,1,0,1,22,1,2,0,4,22,0,0,2,1,0,1
